hour,is_win
0,0.4312292358803987
1,0.2932752179327522
2,0.3589591957421644
3,0.3326168726491134
4,0.294940796555436
5,0.4267352185089974
6,0.4583333333333333
7,0.4476773864216437
8,0.3523545706371191
9,0.3064798598949212
10,0.5560253699788583
11,0.5527456647398844
12,0.6490963855421686
13,0.36670071501532175
14,0.5181488203266787
15,0.5167724388032638
16,0.5444785276073619
17,0.5324407826982492
18,0.491
19,0.47163323782234956
20,0.30711393869288606
21,0.37275204359673025
22,0.4418300653594771
23,0.44461942257217846
